time,wallTime,pacc_liq,pin_LHEX_liq,Tout_LHEX_liq,Tin_LHEX_liq,cooling_power
787.6,22.614740025,154988.791221,727515.0136569999,309.696561081,313.669153856,4.8
788.6,22.635893419,154987.10973999999,727538.358152,309.685501245,313.65817345,4.8
789.6,22.664094138,154985.427242,727561.73622,309.674442176,313.647171019,4.8
790.6,22.685386434,154983.74438,727585.1323919999,309.663383039,313.636158548,4.8
791.6,22.711079021,154982.070654,727608.3249799999,309.652328177,313.625296637,4.8
792.6,22.74405304,154980.388898,727631.716993,309.641278911,313.614286075,4.8
793.6,22.763735815,154978.708826,727655.074007,309.630228643,313.603301597,4.8
794.6,22.78171351,154977.029303,727678.4271,309.619178579,313.592321843,4.8
795.6,22.799120174,154975.35109399998,727701.7594539999,309.608131095,313.581358936,4.8
796.6,22.81879906,154973.673058,727725.098135,309.59708259,313.57039554,4.8
797.6,22.836380274,154971.994707,727748.456452,309.586036666,313.559421569,4.8
798.6,22.865412022,154970.31996999998,727771.7374819999,309.574995064,313.548500901,4.8
799.6,22.884319158,154968.63945299998,727795.167847,309.563952902,313.537476871,4.8
800.6,22.901740701,154966.962272,727818.527352,309.552908933,313.526509637,4.8
801.6,22.918235926,154965.286472,727841.8701139999,309.541866922,313.515560785,4.8
802.6,22.935729671,154963.60748,727865.2969249999,309.530823672,313.504555374,4.8
803.6,22.952337555,154961.93279299999,727888.627108,309.519783186,313.493618407,4.8
804.6,22.968876859,154960.257926,727911.970932,309.50874525,313.482670672,4.8
805.6,23.002631559,154958.58336299998,727935.3154269999,309.497709655,313.471723175,4.8
806.6,23.022671643,154956.908766,727958.669349,309.486676001,313.460768684,4.8
807.6,23.094265633,154955.234584,727982.021794,309.475639621,313.449819925,4.8
808.6,23.11519273,154953.557761,728005.46304,309.464605484,313.438820947,4.8
809.6,23.141265227,154951.883423,728028.8432519999,309.453570642,313.427861456,4.8
810.6,23.170986475,154950.209789,728052.213565,309.442536609,313.416910332,4.8
811.6,23.198057452,154948.534399,728075.6366109999,309.431502827,313.405925506,4.8
812.6,23.215717086,154946.860429,728099.0339329999,309.42046959,313.394961105,4.8
813.6,23.237647472,154945.18569399999,728122.459819,309.409435376,313.383982603,4.8
814.6,23.255042166,154943.513722,728145.826782,309.398402198,313.37304751,4.8
815.6,23.272403171,154941.843849,728169.1554609999,309.387373013,313.362141583,4.8
816.6,23.293944526,154940.172445,728192.533354,309.376348422,313.351200403,4.8
817.6,23.328215805,154938.499249,728215.9582829999,309.365323564,313.340223235,4.8
